 1 9.63517 9.63517 0
 2 9.61373 9.62445 0.00758214
 3 9.58725 9.61205 0.0113168
 4 9.63319 9.61733 0.00964345
 5 9.62425 9.61872 0.00781324
 6 9.60794 9.61692 0.00671421
 7 9.62307 9.6178 0.00581223
 8 9.5999 9.61556 0.00549952
 9 9.62061 9.61612 0.00491699
 10 9.63833 9.61834 0.00490138
 11 9.58629 9.61543 0.00525084
 12 9.62104 9.6159 0.00483407
 13 9.62872 9.61688 0.0045617
 14 9.60177 9.6158 0.00436178
 15 9.60232 9.61491 0.00416261
 16 9.62358 9.61545 0.00393759
 17 9.62436 9.61597 0.00374069
 18 9.62795 9.61664 0.00359157
 19 9.56895 9.61413 0.00418862
 20 9.61789 9.61432 0.0039834
 21 9.60424 9.61384 0.00382252
 22 9.64206 9.61512 0.00385807
 23 9.60498 9.61468 0.00371542
 24 9.65132 9.6162 0.00386152
 25 9.6188 9.61631 0.00370845
 26 9.62123 9.6165 0.00357064
 27 9.59674 9.61577 0.0035126
 28 9.62207 9.61599 0.00339437
 29 9.59274 9.61519 0.00337069
 30 9.6141 9.61515 0.00325853
 31 9.57628 9.6139 0.00338608
 32 9.62836 9.61435 0.00331028
 33 9.61642 9.61441 0.00321057
 34 9.59208 9.61376 0.00318264
 35 9.61013 9.61365 0.00309339
 36 9.58916 9.61297 0.00308136
 37 9.63244 9.6135 0.00304267
 38 9.57098 9.61238 0.00316163
 39 9.64201 9.61314 0.00317056
 40 9.61753 9.61325 0.00309319
 41 9.60486 9.61304 0.00302452
 42 9.61478 9.61309 0.00295279
 43 9.61174 9.61305 0.00288428
 44 9.59911 9.61274 0.00283609
 45 9.60389 9.61254 0.00277987
 46 9.60476 9.61237 0.00272458
 47 9.61155 9.61235 0.00266667
 48 9.60086 9.61212 0.00262183
 49 9.63149 9.61251 0.00259797
 50 9.56373 9.61154 0.00272301
