1 -5.45764 -5.45764 0
2 -5.47162 -5.46463 0.00494216
3 -5.49858 -5.47595 0.00981134
4 -5.46031 -5.47204 0.00809988
5 -5.45846 -5.46932 0.00691996
6 -5.45 -5.4661 0.00647259
7 -5.47258 -5.46703 0.00561378
8 -5.44729 -5.46456 0.00542705
9 -5.43907 -5.46173 0.00551402
10 -5.43557 -5.45911 0.00554851
11 -5.49075 -5.46199 0.00574149
12 -5.49298 -5.46457 0.00581481
13 -5.46335 -5.46448 0.00536827
14 -5.48919 -5.46624 0.0052671
15 -5.47684 -5.46695 0.00496307
16 -5.48505 -5.46808 0.00478001
17 -5.45508 -5.46732 0.00455963
18 -5.40922 -5.46409 0.00532764
19 -5.45445 -5.46358 0.0050713
20 -5.491 -5.46495 0.00499962
21 -5.44233 -5.46387 0.00487622
22 -5.48031 -5.46462 0.00471143
23 -5.46432 -5.46461 0.0045066
24 -5.43972 -5.46357 0.00443654
25 -5.43851 -5.46257 0.00437087
26 -5.47914 -5.46321 0.00424897
27 -5.44957 -5.4627 0.0041215
28 -5.47058 -5.46298 0.00398391
29 -5.48535 -5.46375 0.00392048
30 -5.4572 -5.46354 0.00379588
31 -5.4798 -5.46406 0.00370952
32 -5.45575 -5.4638 0.00360267
33 -5.47739 -5.46421 0.00351694
34 -5.41587 -5.46279 0.00368975
35 -5.4411 -5.46217 0.003636
36 -5.45284 -5.46191 0.00354423
37 -5.48126 -5.46243 0.00348681
38 -5.50511 -5.46356 0.0035713
39 -5.46264 -5.46353 0.0034798
40 -5.50233 -5.4645 0.00352539
41 -5.47667 -5.4648 0.00345186
42 -5.46721 -5.46486 0.00337015
43 -5.45878 -5.46472 0.00329474
44 -5.4519 -5.46443 0.0032327
45 -5.43459 -5.46376 0.00322813
46 -5.45105 -5.46349 0.00316976
47 -5.47447 -5.46372 0.00311092
48 -5.458 -5.4636 0.00304839
49 -5.48107 -5.46396 0.00300696
50 -5.45938 -5.46387 0.00294821
